Customer ID,Recency,Frequency,Monetary,R_score,F_score,M_score,RFM_Score,Segment
12655.0,20,1,261.35,4,1,2,412,New Customers
12656.0,22,3,2356.66,4,3,5,435,Need Attention
12661.0,32,1,162.0,4,1,1,411,New Customers
12662.0,44,7,2287.07,3,5,5,355,Loyal Customers
12663.0,221,2,239.4,1,2,2,122,Lost
12664.0,111,2,1188.16,2,2,4,224,Lost
12665.0,14,2,250.6,5,2,2,522,New Customers
12668.0,26,5,6465.15,4,4,5,445,Champions
12670.0,263,1,225.60000000000002,1,1,1,111,Lost
12671.0,202,1,2622.481,1,1,5,115,Lost
12672.0,192,1,211.15,1,1,1,111,Lost
12675.0,150,2,958.5,2,2,4,224,Lost
12676.0,5,5,1511.7,5,4,4,544,Champions
12677.0,151,2,395.1,2,2,2,222,Lost
12678.0,21,8,15836.25,4,5,5,455,Champions
12681.0,18,19,12029.15,4,5,5,455,Champions
12682.0,21,19,9313.13,4,5,5,455,Champions
12683.0,52,6,3157.13,3,5,5,355,Loyal Customers
12687.0,77,2,2138.91,3,2,5,325,Need Attention
12691.0,17,1,134.6,4,1,1,411,New Customers
12692.0,233,1,110.95,1,1,1,111,Lost
12693.0,48,2,737.3100000000001,3,2,3,323,Need Attention
12694.0,17,1,973.68,4,1,4,414,New Customers
12695.0,124,3,825.02,2,3,3,233,Need Attention
12696.0,31,2,851.91,4,2,3,423,New Customers
12698.0,186,1,339.75,1,1,2,112,Lost
12699.0,14,1,638.11,5,1,3,513,New Customers
12701.0,126,4,1648.7,2,4,4,244,At Risk
12703.0,230,3,722.98,1,3,3,133,Need Attention
12705.0,2,3,4065.66,5,3,5,535,Need Attention
12708.0,52,7,2007.6000000000001,3,5,5,355,Loyal Customers
12709.0,17,17,19891.6,4,5,5,455,Champions
12711.0,208,2,1339.05,1,2,4,124,Lost
12712.0,16,7,2066.76,4,5,5,455,Champions
12714.0,53,6,7832.62,3,5,5,355,Loyal Customers
12717.0,186,1,277.93,1,1,2,112,Lost
12720.0,7,5,2005.55,5,4,5,545,Champions
12721.0,68,1,751.55,3,1,3,313,Need Attention
12724.0,102,2,973.56,2,2,4,224,Lost
12725.0,11,3,1838.96,5,3,4,534,Need Attention
12726.0,27,3,1094.34,4,3,4,434,Need Attention
12727.0,39,3,1698.8300000000002,3,3,4,334,Potential Loyalists
12730.0,118,1,829.25,2,1,3,213,Lost
12731.0,38,5,6879.8,3,4,5,345,Loyal Customers
12733.0,93,2,1638.32,2,2,4,224,Lost
12737.0,95,2,3710.5,2,2,5,225,Lost
12741.0,125,2,406.07,2,2,2,222,Lost
12742.0,222,1,1201.52,1,1,4,114,Lost
12744.0,56,4,4037.77,3,4,5,345,Loyal Customers
12745.0,83,3,925.41,2,3,4,234,Need Attention
12746.0,137,1,254.55,2,1,2,212,Lost
12747.0,20,14,4327.22,4,5,5,455,Champions
12748.0,6,101,16230.63,5,5,5,555,Champions
12749.0,21,2,2031.72,4,2,5,425,New Customers
12751.0,41,1,268.27,3,1,2,312,Need Attention
12755.0,101,6,1400.71,2,5,4,254,At Risk
12758.0,56,5,7111.650000000001,3,4,5,345,Loyal Customers
12759.0,34,4,2802.51,3,4,5,345,Loyal Customers
12760.0,52,1,347.8,3,1,2,312,Need Attention
12761.0,54,2,782.95,3,2,3,323,Need Attention
12765.0,69,6,1404.58,3,5,4,354,Loyal Customers
12766.0,4,1,874.36,5,1,3,513,New Customers
12768.0,47,1,168.69000000000003,3,1,1,311,Need Attention
12770.0,53,1,1895.0,3,1,4,314,Need Attention
12771.0,82,1,282.3,2,1,2,212,Lost
12773.0,160,1,124.25,2,1,1,211,Lost
12774.0,132,1,98.7,2,1,1,211,Lost
12775.0,5,1,172.12,5,1,1,511,New Customers
12776.0,264,1,55.5,1,1,1,111,Lost
12777.0,54,1,519.45,3,1,3,313,Need Attention
12778.0,48,2,556.01,3,2,3,323,Need Attention
12779.0,56,5,1942.8799999999999,3,4,4,344,Loyal Customers
12780.0,195,1,337.4,1,1,2,112,Lost
12782.0,21,4,1511.9,4,4,4,444,Champions
12784.0,126,1,1230.33,2,1,4,214,Lost
12785.0,132,2,788.45,2,2,3,223,Lost
12786.0,206,1,728.5,1,1,3,113,Lost
12787.0,9,1,398.52,5,1,2,512,New Customers
12788.0,59,4,444.9,3,4,2,342,Loyal Customers
12789.0,109,2,181.5,2,2,1,221,Lost
12790.0,7,1,266.93,5,1,2,512,New Customers
12791.0,196,4,555.11,1,4,3,143,At Risk
12792.0,131,1,426.47,2,1,2,212,Lost
12796.0,224,1,381.0,1,1,2,112,Lost
12797.0,21,1,298.05,4,1,2,412,New Customers
12798.0,18,1,1533.8899999999999,4,1,4,414,New Customers
12799.0,125,1,219.35,2,1,1,211,Lost
12800.0,66,3,584.25,3,3,3,333,Potential Loyalists
12801.0,97,1,1071.82,2,1,4,214,Lost
12802.0,39,6,1988.84,3,5,5,355,Loyal Customers
12804.0,62,2,327.02,3,2,2,322,Need Attention
12805.0,77,3,991.35,3,3,4,334,Potential Loyalists
12806.0,32,4,2878.96,4,4,5,445,Champions
12808.0,31,2,293.05,4,2,2,422,New Customers
12809.0,162,2,1266.63,2,2,4,224,Lost
12810.0,131,2,534.99,2,2,3,223,Lost
12811.0,24,1,282.95,4,1,2,412,New Customers
12813.0,98,3,1687.8,2,3,4,234,Need Attention
12817.0,31,1,195.60000000000002,4,1,1,411,New Customers
12819.0,54,1,540.52,3,1,3,313,Need Attention
12820.0,11,6,1568.6299999999999,5,5,4,554,Champions
12821.0,207,1,128.07999999999998,1,1,1,111,Lost
12823.0,59,10,2829.5,3,5,5,355,Loyal Customers
12825.0,118,2,518.63,2,2,3,223,Lost
12826.0,26,4,1201.03,4,4,4,444,Champions
12829.0,146,1,92.30000000000001,2,1,1,211,Lost
12831.0,59,2,236.06,3,2,1,321,Need Attention
12835.0,24,41,6043.31,4,5,5,455,Champions
12836.0,27,10,3331.36,4,5,5,455,Champions
12837.0,165,1,554.31,2,1,3,213,Lost
12838.0,2,7,2109.66,5,5,5,555,Champions
12839.0,22,10,3202.52,4,5,5,455,Champions
12840.0,33,3,1315.2,4,3,4,434,Need Attention
12841.0,7,9,1617.54,5,5,4,554,Champions
12842.0,1,2,799.0,5,2,3,523,New Customers
12843.0,5,18,4308.6,5,5,5,555,Champions
12844.0,38,2,322.64,3,2,2,322,Need Attention
12846.0,278,1,15.58,1,1,1,111,Lost
12848.0,272,1,208.0,1,1,1,111,Lost
12849.0,27,2,1022.96,4,2,4,424,New Customers
12850.0,42,1,330.0,3,1,2,312,Need Attention
12851.0,73,1,148.95,3,1,1,311,Need Attention
12853.0,23,5,1950.4,4,4,4,444,Champions
12854.0,157,4,1669.52,2,4,4,244,At Risk
12857.0,32,4,2581.6,4,4,5,445,Champions
12859.0,55,1,575.1,3,1,3,313,Need Attention
12860.0,289,1,55.47,1,1,1,111,Lost
12861.0,216,1,68.25,1,1,1,111,Lost
12862.0,22,2,1008.3199999999999,4,2,4,424,New Customers
12863.0,115,4,1686.95,2,4,4,244,At Risk
12864.0,104,1,152.45,2,1,1,211,Lost
12865.0,73,1,1043.15,3,1,4,314,Need Attention
12866.0,70,2,668.23,3,2,3,323,Need Attention
12867.0,42,5,2949.66,3,4,5,345,Loyal Customers
12869.0,278,1,337.66999999999996,1,1,2,112,Lost
12870.0,73,2,492.0,3,2,3,323,Need Attention
12871.0,36,1,363.38,3,1,2,312,Need Attention
12872.0,12,9,2428.14,5,5,5,555,Champions
12873.0,278,1,492.4,1,1,3,113,Lost
12874.0,151,1,489.26,2,1,3,213,Lost
12875.0,67,3,1013.76,3,3,4,334,Potential Loyalists
12876.0,187,1,885.5400000000001,1,1,3,113,Lost
12877.0,10,7,1237.8600000000001,5,5,4,554,Champions
12880.0,171,1,337.18,2,1,2,212,Lost
12889.0,26,3,336.61,4,3,2,432,Need Attention
12891.0,54,8,509.5,3,5,3,353,Loyal Customers
12894.0,171,1,157.35,2,1,1,211,Lost
12897.0,140,1,104.15,2,1,1,211,Lost
12898.0,60,2,310.96000000000004,3,2,2,322,Need Attention
12899.0,10,1,366.4,5,1,2,512,New Customers
12900.0,18,1,340.33,4,1,2,412,New Customers
12903.0,25,1,833.53,4,1,3,413,New Customers
12905.0,173,2,1018.42,2,2,4,224,Lost
12907.0,90,1,328.43,2,1,2,212,Lost
12908.0,101,2,636.0,2,2,3,223,Lost
12909.0,21,3,924.52,4,3,4,434,Need Attention
12910.0,41,4,2221.3,3,4,5,345,Loyal Customers
12911.0,148,1,1680.47,2,1,4,214,Lost
12913.0,5,6,2506.11,5,5,5,555,Champions
12915.0,69,2,611.45,3,2,3,323,Need Attention
12916.0,39,3,1647.87,3,3,4,334,Potential Loyalists
12917.0,95,3,3086.2000000000003,2,3,5,235,Need Attention
12918.0,222,1,10953.5,1,1,5,115,Lost
12920.0,168,3,323.86,2,3,2,232,Need Attention
12921.0,3,34,16786.75,5,5,5,555,Champions
12923.0,171,1,426.2,2,1,2,212,Lost
12924.0,24,7,1378.38,4,5,4,454,Champions
12925.0,189,1,35.28,1,1,1,111,Lost
12926.0,7,4,1548.46,5,4,4,544,Champions
12928.0,38,6,1503.33,3,5,4,354,Loyal Customers
12931.0,10,35,42002.08,5,5,5,555,Champions
12932.0,135,8,1698.56,2,5,4,254,At Risk
12933.0,47,3,421.85,3,3,2,332,Potential Loyalists
12934.0,333,1,181.65,1,1,1,111,Lost
12935.0,31,7,1773.13,4,5,4,454,Champions
12937.0,59,5,1593.34,3,4,4,344,Loyal Customers
12939.0,14,9,9531.24,5,5,5,555,Champions
12941.0,321,1,377.49,1,1,2,112,Lost
12943.0,155,2,496.5,2,2,3,223,Lost
12945.0,252,1,437.16,1,1,2,112,Lost
12946.0,33,1,324.45,4,1,2,412,New Customers
12948.0,327,2,252.48000000000002,1,2,2,122,Lost
12949.0,60,11,8003.7,3,5,5,355,Loyal Customers
12951.0,31,7,1433.8500000000001,4,5,4,454,Champions
12953.0,119,1,498.96000000000004,2,1,3,213,Lost
12954.0,235,1,162.45,1,1,1,111,Lost
12956.0,281,3,413.82,1,3,2,132,Need Attention
12957.0,138,5,4689.43,2,4,5,245,At Risk
12958.0,179,1,166.89,1,1,1,111,Lost
12959.0,80,1,150.95,2,1,1,211,Lost
12960.0,10,4,1322.07,5,4,4,544,Champions
12963.0,31,4,1379.16,4,4,4,444,Champions
12964.0,33,1,132.24,4,1,1,411,New Customers
12969.0,199,1,122.45,1,1,1,111,Lost
12970.0,331,1,260.64,1,1,2,112,Lost
12971.0,6,19,3381.25,5,5,5,555,Champions
12972.0,10,4,1161.2,5,4,4,544,Champions
12973.0,10,1,385.55,5,1,2,512,New Customers
12974.0,162,1,264.15,2,1,2,212,Lost
12975.0,33,6,2100.09,4,5,5,455,Champions
12976.0,74,6,2012.12,3,5,5,355,Loyal Customers
12977.0,98,3,478.39,2,3,3,233,Need Attention
12978.0,242,4,1946.46,1,4,4,144,At Risk
12979.0,325,1,517.7,1,1,3,113,Lost
12980.0,12,11,7539.84,5,5,5,555,Champions
12982.0,13,6,2186.42,5,5,5,555,Champions
12983.0,195,1,490.08000000000004,1,1,3,113,Lost
12986.0,25,10,2729.84,4,5,5,455,Champions
12987.0,17,3,753.51,4,3,3,433,Need Attention
12989.0,21,18,6627.64,4,5,5,455,Champions
12990.0,14,4,546.0,5,4,3,543,Champions
12992.0,321,1,93.35000000000001,1,1,1,111,Lost
12993.0,42,4,844.87,3,4,3,343,Loyal Customers
12997.0,69,3,578.48,3,3,3,333,Potential Loyalists
12998.0,89,3,920.08,2,3,4,234,Need Attention
13000.0,321,1,497.65000000000003,1,1,3,113,Lost
13001.0,1,20,14353.28,5,5,5,555,Champions
13002.0,13,2,293.18,5,2,2,522,New Customers
13004.0,28,16,5270.17,4,5,5,455,Champions
13005.0,28,2,485.98,4,2,3,423,New Customers
13007.0,176,1,175.25,1,1,1,111,Lost
13008.0,319,1,189.31,1,1,1,111,Lost
13009.0,269,1,234.0,1,1,1,111,Lost
13010.0,245,1,177.12,1,1,1,111,Lost
13012.0,26,3,1310.99,4,3,4,434,Need Attention
13013.0,3,14,5982.59,5,5,5,555,Champions
13014.0,29,1,1914.8,4,1,4,414,New Customers
13015.0,35,6,3240.14,3,5,5,355,Loyal Customers
13018.0,10,7,2485.46,5,5,5,555,Champions
13019.0,3,5,1039.0,5,4,4,544,Champions
13020.0,159,2,618.96,2,2,3,223,Lost
13021.0,2,7,1969.3700000000001,5,5,5,555,Champions
13022.0,26,1,65.3,4,1,1,411,New Customers
13023.0,125,1,759.13,2,1,3,213,Lost
13024.0,67,2,555.87,3,2,3,323,Need Attention
13025.0,328,1,323.39,1,1,2,112,Lost
13026.0,85,4,757.72,2,4,3,243,At Risk
13027.0,6,12,9751.2,5,5,5,555,Champions
13029.0,120,1,347.7,2,1,2,212,Lost
13031.0,3,5,3419.27,5,4,5,545,Champions
13032.0,28,6,1273.44,4,5,4,454,Champions
13033.0,26,1,30.0,4,1,1,411,New Customers
13035.0,27,1,442.32,4,1,2,412,New Customers
13036.0,281,1,307.1,1,1,2,112,Lost
13037.0,58,8,2879.58,3,5,5,355,Loyal Customers
13039.0,180,4,1010.73,1,4,4,144,At Risk
13041.0,47,4,799.13,3,4,3,343,Loyal Customers
13042.0,195,3,1556.54,1,3,4,134,Need Attention
13044.0,88,10,4293.43,2,5,5,255,At Risk
13045.0,83,1,325.44,2,1,2,212,Lost
13046.0,53,1,319.94,3,1,2,312,Need Attention
13047.0,11,14,5190.99,5,5,5,555,Champions
13048.0,33,5,2248.3,4,4,5,445,Champions
13050.0,1,15,5484.13,5,5,5,555,Champions
13051.0,175,2,155.8,1,2,1,121,Lost
13052.0,16,6,2820.38,4,5,5,455,Champions
13053.0,218,1,127.65,1,1,1,111,Lost
13055.0,26,1,1106.7,4,1,4,414,New Customers
13056.0,147,1,209.48,2,1,1,211,Lost
13057.0,126,3,722.09,2,3,3,233,Need Attention
13059.0,9,9,2119.77,5,5,5,555,Champions
13063.0,77,1,188.4,3,1,1,311,Need Attention
13064.0,146,2,561.25,2,2,3,223,Lost
13065.0,11,3,623.84,5,3,3,533,Need Attention
13067.0,6,2,393.05,5,2,2,522,New Customers
13069.0,16,10,3794.18,4,5,5,455,Champions
13070.0,56,3,522.9,3,3,3,333,Potential Loyalists
13071.0,209,1,129.22,1,1,1,111,Lost
13073.0,7,2,418.08,5,2,2,522,New Customers
13074.0,107,4,1378.74,2,4,4,244,At Risk
13076.0,54,1,135.4,3,1,1,311,Need Attention
13077.0,10,6,1634.3600000000001,5,5,4,554,Champions
13078.0,3,27,13404.970000000001,5,5,5,555,Champions
13079.0,13,1,199.08,5,1,1,511,New Customers
13080.0,158,2,160.75,2,2,1,221,Lost
13081.0,5,14,25532.91,5,5,5,555,Champions
13082.0,20,12,3722.12,4,5,5,455,Champions
13083.0,22,1,91.67999999999999,4,1,1,411,New Customers
13084.0,88,1,122.39999999999999,2,1,1,211,Lost
13085.0,276,6,2017.2,1,5,5,155,At Risk
13087.0,322,1,313.64,1,1,2,112,Lost
13088.0,13,1,236.11,5,1,1,511,New Customers
13089.0,4,95,45420.55,5,5,5,555,Champions
13090.0,21,5,1830.77,4,4,4,444,Champions
13091.0,326,2,1976.0,1,2,5,125,Lost
13092.0,11,7,1662.45,5,5,4,554,Champions
13093.0,3,44,38632.98,5,5,5,555,Champions
13097.0,39,17,6629.0,3,5,5,355,Loyal Customers
13101.0,94,3,594.21,2,3,3,233,Need Attention
13102.0,7,9,3021.67,5,5,5,555,Champions
13103.0,34,2,465.70000000000005,3,2,3,323,Need Attention
13104.0,11,3,610.62,5,3,3,533,Need Attention
13105.0,33,1,72.0,4,1,1,411,New Customers
13106.0,10,1,526.96,5,1,3,513,New Customers
13107.0,10,5,3721.45,5,4,5,545,Champions
13108.0,31,1,398.4,4,1,2,412,New Customers
13109.0,148,1,347.49,2,1,2,212,Lost
13110.0,33,5,1468.8000000000002,4,4,4,444,Champions
13111.0,315,1,321.88000000000005,1,1,2,112,Lost
13112.0,137,1,20.6,2,1,1,211,Lost
13113.0,20,10,4627.2,4,5,5,455,Champions
13114.0,327,1,234.38,1,1,1,111,Lost
13115.0,97,4,1788.5,2,4,4,244,At Risk
13117.0,11,9,1117.35,5,5,4,554,Champions
13118.0,7,2,631.52,5,2,3,523,New Customers
13119.0,265,1,134.9,1,1,1,111,Lost
13123.0,69,2,506.75,3,2,3,323,Need Attention
13125.0,120,1,158.57,2,1,1,211,Lost
13126.0,3,5,1675.17,5,4,4,544,Champions
13128.0,227,1,263.5,1,1,2,112,Lost
13129.0,49,2,233.25,3,2,1,321,Need Attention
13131.0,14,4,2240.47,5,4,5,545,Champions
13133.0,55,1,90.65,3,1,1,311,Need Attention
13134.0,13,1,273.85,5,1,2,512,New Customers
13135.0,87,1,275.45,2,1,2,212,Lost
13136.0,17,6,3163.63,4,5,5,455,Champions
13137.0,8,5,1963.9,5,4,5,545,Champions
13139.0,34,1,3138.04,3,1,5,315,Need Attention
13140.0,16,2,632.45,4,2,3,423,New Customers
13141.0,37,10,4731.41,3,5,5,355,Loyal Customers
13143.0,181,1,405.1,1,1,2,112,Lost
13144.0,27,1,24.4,4,1,1,411,New Customers
13145.0,16,3,510.0,4,3,3,433,Need Attention
13148.0,49,10,3824.48,3,5,5,355,Loyal Customers
13150.0,81,3,449.96999999999997,2,3,2,232,Need Attention
13151.0,222,2,1322.8700000000001,1,2,4,124,Lost
13152.0,14,7,2146.38,5,5,5,555,Champions
13154.0,104,2,1012.98,2,2,4,224,Lost
13155.0,9,2,398.72,5,2,2,522,New Customers
13156.0,264,2,1239.6,1,2,4,124,Lost
13157.0,5,5,3946.14,5,4,5,545,Champions
13161.0,97,1,366.13,2,1,2,212,Lost
13162.0,68,11,7278.02,3,5,5,355,Loyal Customers
13163.0,206,1,17.65,1,1,1,111,Lost
13164.0,166,2,372.2,2,2,2,222,Lost
13165.0,9,1,429.68,5,1,2,512,New Customers
13166.0,10,1,466.98,5,1,3,513,New Customers
13168.0,138,1,556.12,2,1,3,213,Lost
13169.0,158,1,127.2,2,1,1,211,Lost
13173.0,44,9,2119.76,3,5,5,355,Loyal Customers
